City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
273,buala,98.0,SB,1665343512.0,78.0,-8.145,159.5921,78.84,2.91
274,amberieu-en-bugey,99.0,FR,1665343601.0,84.0,45.9589,5.3432,64.38,5.5
275,jumla,100.0,NP,1665343686.0,97.0,29.2747,82.1838,53.56,3.09
276,pontianak,75.0,ID,1665343686.0,100.0,-0.0333,109.3333,73.38,2.3
277,kenai,100.0,US,1665343446.0,94.0,60.5544,-151.2583,45.14,6.91
278,talnakh,100.0,RU,1665343687.0,99.0,69.4865,88.3972,34.21,7.65
279,ler,8.0,SS,1665343692.0,88.0,8.3018,30.1418,72.32,2.62
280,geraldton,40.0,AU,1665343672.0,82.0,-28.7667,114.6,61.21,6.91
281,leningradskiy,76.0,RU,1665343692.0,74.0,69.3833,178.4167,15.26,15.32
282,ranong,100.0,TH,1665343693.0,90.0,9.9658,98.6348,76.03,3.62
283,yuanping,0.0,CN,1665343693.0,37.0,38.7153,112.7575,33.98,2.95
284,manggar,100.0,ID,1665343693.0,85.0,-2.8833,108.2667,77.7,9.84
285,shingu,100.0,JP,1665343694.0,91.0,33.7333,135.9833,67.64,2.33
286,kavaratti,100.0,IN,1665343694.0,79.0,10.5669,72.642,80.8,7.02
287,maromitsa,100.0,RU,1665343695.0,91.0,59.8683,48.0123,48.34,8.68
288,inuvik,75.0,CA,1665343695.0,87.0,68.3499,-133.7218,39.96,1.14
289,chaman,0.0,PK,1665343695.0,7.0,30.9236,66.4512,60.89,3.18
290,tiarei,19.0,PF,1665343696.0,75.0,-17.5333,-149.3333,80.62,14.94
291,bosaso,70.0,SO,1665343696.0,55.0,11.2842,49.1816,82.0,4.29
292,acapulco,75.0,MX,1665343696.0,79.0,16.8634,-99.8901,85.82,11.5
293,talovaya,100.0,RU,1665343697.0,66.0,51.1144,40.73,54.82,7.72
294,broome,100.0,US,1665343697.0,61.0,42.2506,-75.833,59.7,14.97
295,junin,0.0,AR,1665343698.0,16.0,-34.5838,-60.9433,71.89,7.63
296,lompoc,40.0,US,1665343698.0,78.0,34.6391,-120.4579,71.74,5.75
297,labuhan,100.0,ID,1665343698.0,83.0,-6.8844,112.2051,79.59,3.67
298,college,100.0,US,1665343630.0,92.0,64.8569,-147.8028,35.58,13.8
299,boende,30.0,CD,1665343699.0,97.0,-0.2167,20.8667,71.33,1.43
300,vila do maio,46.0,CV,1665343699.0,74.0,15.1333,-23.2167,81.39,15.41
301,havre-saint-pierre,75.0,CA,1665343699.0,70.0,50.2334,-63.5986,44.96,10.36
302,aasiaat,100.0,GL,1665343700.0,67.0,68.7098,-52.8699,23.85,15.86
